天数（自2016年001天起算，北京时间）小时 分钟 秒 模板号
261 9 43 3.5 3
261 9 44 24.6 10
261 9 46 38.5 6
261 9 46 57.9 1
261 9 49 27.5 10
261 9 49 50.3 3
261 9 50 58.6 4
261 9 51 7.7 4
261 9 52 35.2 2
261 9 6 51.5 6
261 9 7 55 3
261 9 9 18.6 2
261 9 9 34.9 5
261 9 9 39.2 7
262 0 0 27.1 8
262 0 16 59.7 1
262 0 25 34.3 11
262 0 36 49.3 8
262 0 40 47.2 3
262 0 5 47.5 2
262 0 52 34.9 4
262 0 53 18 4
262 0 7 13.1 4
262 1 10 28.7 5
262 1 16 4.5 4
262 1 19 53.4 4
262 1 2 27.7 5
262 1 24 40.2 5
262 1 36 48.5 3
262 1 50 23.9 4
262 1 54 2.6 5
262 1 54 33.3 2
262 10 10 23.5 4
262 10 34 1 1
262 10 34 3.5 2
262 10 35 13.2 4
262 10 38 1.4 5
262 10 46 10.7 4
262 10 52 54.5 3
262 10 52 58 3
262 10 53 27.7 3
262 10 55 51.2 5
262 11 11 49.6 1
262 11 21 21.2 1
262 11 26 18 1
262 11 26 33.9 10
262 11 35 53.6 2
262 11 36 34.4 2
262 11 39 20.9 8
262 11 39 52.6 4
262 11 44 16 2
262 11 46 21.7 4
262 11 58 35.4 3
262 11 8 2.2 5
262 12 0 16.8 5
262 12 14 41.9 4
262 12 21 25.2 3
262 12 26 56.5 2
262 12 31 20.7 4
262 12 34 9.9 1
262 12 37 10.8 9
262 12 37 35.5 5
262 12 37 8.9 4
262 12 4 57.3 2
262 12 44 2.9 5
262 12 45 41.5 4
262 12 50 50 4
262 12 51 17.9 4
262 12 52 16.2 4
262 12 52 46.5 4
262 12 9 33.7 7
262 13 17 12.5 3
262 13 17 24.9 5
262 13 26 41.5 4
262 13 26 45.1 4
262 13 27 13.6 4
262 13 27 26.6 4
262 13 27 37.1 8
262 13 4 34.2 4
262 13 4 9.2 8
262 13 56 5.1 4
262 13 6 8.8 4
262 14 10 29.4 1
262 14 19 58.5 4
262 14 20 51.7 3
262 14 33 26.4 7
262 14 34 48.7 5
262 14 38 41.1 4
262 14 41 30.5 6
262 14 50 29.1 3
262 14 50 45.1 3
262 14 7 42.1 5
262 15 23 47.7 1
262 15 24 0.5 1
262 15 24 37.7 3
262 15 24 48.9 2
262 15 28 31.1 2
262 15 32 50.6 10
262 15 50 39.6 2
262 15 56 40.3 11
262 15 6 43.1 3
262 15 8 15 10
262 15 8 23.3 10
262 15 8 34.1 2
262 16 1 36.8 1
262 16 15 52.8 5
262 16 31 13.3 3
262 16 36 2.6 4
262 16 36 40 10
262 16 4 54.2 1
262 16 44 0.6 3
262 16 47 37.9 1
262 16 48 46.9 4
262 16 57 22.4 10
262 17 12 57.4 2
262 17 13 24.5 4
262 17 18 3 4
262 17 18 43.7 4
262 17 19 42.1 4
262 17 24 50.1 5
262 17 24 8.8 7
262 17 25 21.6 9
262 17 43 28.7 3
262 17 48 57.5 9
262 17 6 12.2 11
262 18 17 29.8 1
262 18 18 35.8 3
262 18 19 31.8 3
262 18 2 50.3 1
262 18 21 47.9 2
262 18 30 1.2 4
262 18 31 48.6 2
262 18 36 31.3 3
262 18 37 34.4 7
262 18 47 1.2 4
262 19 13 14.2 4
262 19 13 49.2 11
262 19 2 48.4 5
262 19 20 3.7 6
262 19 23 46.6 2
262 19 25 17.1 5
262 19 44 3.8 2
262 19 44 7.2 1
262 19 49 19.1 5
262 19 56 7.9 4
262 19 59 53.9 2
262 19 6 29.7 4
262 2 17 15.8 3
262 2 53 23.4 4
262 2 55 45.2 4
262 20 0 28.3 5
262 20 11 17.5 5
262 20 11 20 4
262 20 14 31.3 1
262 20 18 36.8 3
262 20 18 39.6 1
262 20 18 52.5 2
262 20 20 48.3 1
262 20 20 51.6 1
262 20 25 1.5 3
262 20 36 41 1
262 20 37 22.6 10
262 20 37 49.3 1
262 20 38 18.2 2
262 20 40 8.1 11
262 20 44 32.4 3
262 20 50 30.6 2
262 20 52 25.3 5
262 20 55 45.3 11
262 20 57 16.4 1
262 20 57 3.9 1
262 20 59 21.4 9
262 21 17 32.8 1
262 21 2 47.4 3
262 21 2 56.2 5
262 21 20 28.4 1
262 21 21 56.4 5
262 21 32 26.5 4
262 21 33 20.7 3
262 21 33 42.5 1
262 21 36 47.3 6
262 21 36 7.2 4
262 21 36 9.5 8
262 21 39 49.6 2
262 21 4 54.1 5
262 21 40 13.2 1
262 21 40 57.2 2
262 21 48 49.2 1
262 21 49 35.3 1
262 21 5 17.3 2
262 21 50 37.3 3
262 21 52 39.4 5
262 21 53 18.8 3
262 21 53 26.1 3
262 21 54 23.6 3
262 21 54 51.1 1
262 21 54 52.9 4
262 21 58 12 4
262 21 58 55 1
262 21 7 45 2
262 22 0 36.3 2
262 22 11 12.7 2
262 22 11 38.8 10
262 22 16 44.7 4
262 22 17 22.9 1
262 22 2 51.4 9
262 22 20 24.9 4
262 22 27 11.2 3
262 22 27 14.6 10
262 22 27 43.8 11
262 22 3 35.2 4
262 22 34 30 3
262 22 37 43.9 8
262 22 46 38.9 2
262 22 5 56.2 5
262 22 50 58.9 12
262 22 59 24.5 9
262 23 12 23 5
262 23 13 41 3
262 23 15 26.1 4
262 23 15 33 1
262 23 15 49.9 8
262 23 16 3.9 3
262 23 16 41.5 4
262 23 17 32 5
262 23 2 11.9 4
262 23 23 33.6 11
262 23 24 40 3
262 23 27 55.2 4
262 23 28 44.7 1
262 23 29 17.6 5
262 23 33 13.7 4
262 23 35 56.9 3
262 23 41 37.7 2
262 23 45 10.1 7
262 23 45 49.1 1
262 23 48 31.5 2
262 23 5 18.4 2
262 23 52 2.1 5
262 23 52 7.7 5
262 3 26 48.2 6
262 3 37 20.9 4
262 3 45 32.9 11
262 3 45 36.8 5
262 3 53 2 11
262 3 53 26 3
262 3 53 37 4
262 3 53 6 1
262 3 58 52 5
262 4 10 35 3
262 4 39 44 3
262 4 4 51 4
262 4 40 17 2
262 4 49 5 11
262 4 52 10 1
262 4 7 35 11
262 4 7 40 1
262 5 24 18 7
262 5 29 41 11
262 5 41 21 9
262 5 48 37 7
262 5 53 35 3
262 5 56 28 6
262 6 12 26 3
262 6 39 3 2
262 7 1 44 6
262 7 19 59 4
262 7 20 35 2
262 7 42 10 6
262 7 42 30 1
262 8 21 26.9 5
262 8 34 21.9 5
262 8 38 10 3
262 8 39 40.8 8
262 8 40 35.2 3
262 8 40 49.3 3
262 8 45 16.4 11
262 8 49 12.5 1
262 8 52 52.6 6
262 8 54 2.2 4
262 8 54 50.1 2
262 8 56 18.1 6
262 8 56 6.7 9
262 8 56 8.6 1
262 8 58 21.9 1
262 9 1 41.9 5
262 9 13 14.3 10
262 9 14 28.8 6
262 9 18 32.4 6
262 9 19 5.1 5
262 9 21 4.6 4
262 9 24 10.7 2
262 9 28 22.9 4
262 9 31 41.7 6
262 9 32 59.3 6
262 9 34 40.3 4
262 9 36 27 2
262 9 36 29.6 6
262 9 4 42.2 6
262 9 40 11.8 6
262 9 43 36.7 3
262 9 49 3.9 2
262 9 5 24.6 9
262 9 52 48.4 6
262 9 53 15.5 3
262 9 54 50.2 2
262 9 57 59.7 3
262 9 7 5.4 11
263 0 16 10.2 2
263 0 16 41.4 2
263 0 18 19.8 2
263 0 19 1.9 3
263 0 20 28.4 11
263 0 21 26 1
263 0 22 0.1 4
263 0 23 42.1 1
263 0 28 36.1 1
263 0 30 51.3 2
263 0 31 5.7 1
263 0 4 35.4 1
263 0 42 30.7 1
263 0 46 35.6 8
263 0 47 5.8 2
263 0 52 41.6 9
263 0 8 16.6 1
263 1 1 12.9 5
263 1 15 38 5
263 1 18 7.8 2
263 1 2 8.6 3
263 1 20 14.1 5
263 1 20 9.5 3
263 1 21 59 1
263 1 23 8.3 4
263 1 25 36.5 11
263 1 30 31.9 2
263 1 33 14.6 2
263 1 36 21.8 2
263 1 38 40.8 2
263 1 46 51.4 1
263 1 50 27.8 4
263 1 57 4.7 1
263 1 7 23.7 2
263 10 13 59.7 7
263 10 20 42.8 1
263 10 23 7.8 1
263 10 25 48.9 1
263 10 29 3.1 4
263 10 30 37.2 2
263 10 37 1.3 1
263 10 44 43.7 11
263 10 5 36.5 1
263 10 52 15.8 1
263 10 58 49.2 2
263 10 8 25.8 6
263 11 1 23.2 4
263 11 11 49.9 5
263 11 21 59.9 6
263 11 24 0.2 4
263 11 24 18.8 5
263 11 25 8.6 4
263 11 28 19.6 2
263 11 49 59 5
263 11 5 14.4 2
263 11 50 29.5 1
263 11 51 3.8 5
263 11 53 57.5 3
263 11 9 33 2
263 12 11 2.9 7
263 12 13 2.9 1
263 12 20 35.9 5
263 12 22 0.9 5
263 12 33 46.6 3
263 12 34 38.1 4
263 12 36 15.8 1
263 12 51 6.2 4
263 12 54 26.4 10
263 12 58 17.5 3
263 13 12 37.5 1
263 13 13 28.4 3
263 13 17 34.1 10
263 13 21 54.8 2
263 13 24 10 7
263 13 3 26.8 5
263 13 30 43.5 1
263 13 4 57.2 1
263 13 43 46.3 1
263 13 52 25.2 7
263 13 53 43.8 1
263 13 59 17.9 2
263 14 17 29.7 1
263 14 26 4.7 5
263 14 27 53 5
263 14 30 50.6 1
263 14 41 19.6 4
263 14 46 26.1 5
263 14 46 42.3 2
263 14 52 36.4 5
263 14 56 44.9 3
263 15 10 33.2 3
263 15 22 55.5 3
263 15 23 52.7 4
263 15 24 5.4 1
263 15 25 6 4
263 15 35 42.2 4
263 15 41 17.9 9
263 15 50 6.4 4
263 15 55 14.8 2
263 15 59 8.9 5
263 15 9 35 5
263 16 13 15.1 2
263 16 15 51.2 1
263 16 19 10.5 2
263 16 45 47.1 9
263 17 15 36.9 8
263 17 18 36.5 2
263 17 43 32.9 1
263 17 44 5.6 2
263 17 5 22.5 4
263 17 56 6.9 2
263 17 57 20.1 4
263 18 19 25.7 1
263 18 3 46.3 4
263 18 40 37.2 4
263 18 40 5.6 2
263 18 44 1.4 1
263 18 44 22.5 3
263 18 44 51.5 3
263 18 47 22.7 5
263 18 49 25.3 1
263 18 50 20.5 7
263 18 55 34.5 7
263 18 7 34.4 1
263 18 7 44.9 2
263 19 10 31.9 1
263 19 10 44 1
263 19 12 8.6 1
263 19 27 37.2 3
263 19 27 41.8 3
263 19 31 31.9 4
263 19 32 45.9 9
263 19 39 48.4 9
263 19 43 10.7 1
263 19 46 10.4 3
263 19 49 24 4
263 19 50 30.3 9
263 19 59 30.2 7
263 19 6 55.4 5
263 2 12 2.9 4
263 2 17 31.3 1
263 2 21 48.4 3
263 2 21 55.6 8
263 2 54 1.8 3
263 2 58 15.2 5
263 2 8 4.1 3
263 20 13 45.9 5
263 20 14 29.7 10
263 20 2 19.6 4
263 20 29 24.4 1
263 20 29 48.6 7
263 20 38 20.9 5
263 20 50 26.7 1
263 20 53 10.7 1
263 20 8 56.8 4
263 21 12 3.2 11
263 21 17 8.1 2
263 21 18 17.2 4
263 21 22 58.4 3
263 21 29 33.9 1
263 21 31 57.8 3
263 21 33 51 2
263 21 34 57.8 2
263 21 38 17.8 5
263 21 40 8.1 4
263 21 46 2.2 5
263 21 50 8.3 1
263 21 58 46 11
263 21 6 38.9 3
263 21 8 23.1 4
263 22 0 19.6 7
263 22 17 56.9 3
263 22 18 20.2 11
263 22 20 42.9 9
263 22 27 23.2 3
263 22 3 58.6 5
263 22 31 42.4 1
263 22 32 24.3 3
263 22 45 2.7 1
263 22 46 5.9 2
263 22 47 46.5 5
263 22 51 52.6 7
263 22 54 33.8 3
263 22 54 47.3 5
263 22 56 18.3 1
263 22 9 13.3 5
263 23 0 50.5 5
263 23 10 14.2 1
263 23 12 57.7 6
263 23 16 22.4 9
263 23 17 26.1 4
263 23 21 22.7 2
263 23 25 5 5
263 23 26 23.6 3
263 23 28 40.5 2
263 23 30 25.4 9
263 23 34 55.8 2
263 23 36 54.3 1
263 23 40 29 4
263 23 41 16.7 7
263 23 47 51.9 1
263 23 55 36.8 2
263 23 6 11.9 4
263 23 6 52.3 4
263 23 7 20 5
263 23 7 22.3 4
263 23 8 19.4 2
263 23 9 58.2 1
263 3 17 19.3 1
263 3 17 32 2
263 3 18 24 7
263 3 18 50.2 4
263 3 22 24.5 4
263 3 24 48.1 2
263 3 25 28.5 7
263 3 28 17 7
263 3 30 40.9 6
263 3 30 59.2 6
263 3 31 36.9 6
263 3 32 35.2 6
263 3 44 9.9 2
263 3 46 33.3 4
263 3 57 47 1
263 3 9 53.7 8
263 4 0 28 4
263 4 21 45 4
263 4 24 8 9
263 4 32 12 4
263 4 35 23 10
263 4 39 2 7
263 4 41 46 6
263 4 44 48 1
263 4 46 28 2
263 4 49 52 5
263 4 50 32 6
263 4 50 44 4
263 4 50 59 3
263 4 53 18 8
263 4 54 2 8
263 4 55 59 1
263 4 56 32 3
263 4 57 0 4
263 4 8 2 1
263 4 9 2 3
263 5 1 14 10
263 5 10 49 7
263 5 11 41 9
263 5 15 29 3
263 5 15 5 1
263 5 19 16 7
263 5 21 54 10
263 5 25 45 5
263 5 28 54 4
263 5 29 45 6
263 5 31 22 4
263 5 32 45 6
263 5 33 2 4
263 5 37 10 1
263 5 38 58 1
263 5 39 19 1
263 5 40 20 4
263 5 40 31 2
263 5 40 38 6
263 5 41 3 2
263 5 5 26 8
263 5 51 0 5
263 5 53 57 1
263 5 54 36 3
263 5 54 5 4
263 5 54 54 6
263 5 55 21 5
263 5 55 7 4
263 5 59 27 5
263 5 9 51 8
263 6 0 5 5
263 6 1 21 9
263 6 1 25 3
263 6 10 7 4
263 6 11 46 2
263 6 15 6 2
263 6 15 8 5
263 6 17 18 8
263 6 17 58 10
263 6 18 48 1
263 6 2 11 4
263 6 2 22 4
263 6 2 41 3
263 6 20 59 2
263 6 21 51 1
263 6 22 9 1
263 6 23 51 2
263 6 24 51 2
263 6 24 53 1
263 6 25 40 1
263 6 26 25 4
263 6 26 47 4
263 6 27 27 9
263 6 3 17 4
263 6 3 19 9
263 6 3 43 2
263 6 3 47 1
263 6 32 57 4
263 6 34 31 4
263 6 38 20 10
263 6 38 34 4
263 6 40 12 2
263 6 42 14 3
263 6 42 44 1
263 6 46 24 1
263 6 47 45 9
263 6 47 55 4
263 6 48 28 2
263 6 48 58 6
263 6 49 38 2
263 6 52 26 4
263 6 52 46 6
263 6 54 15 10
263 6 55 28 4
263 6 56 2 6
263 6 56 30 5
263 6 57 51 2
263 6 58 26 11
263 6 9 24 5
263 6 9 34 1
263 6 9 38 2
263 7 0 29 7
263 7 10 1 7
263 7 11 28 3
263 7 11 33 10
263 7 12 25 3
263 7 12 57 5
263 7 13 35 7
263 7 13 44 8
263 7 15 2 3
263 7 15 4 4
263 7 16 30 8
263 7 17 44 3
263 7 19 58 6
263 7 2 10 5
263 7 21 53 1
263 7 23 21 4
263 7 24 14 9
263 7 24 23 2
263 7 25 56 3
263 7 26 8 3
263 7 27 33 2
263 7 27 39 4
263 7 27 44 2
263 7 27 50 6
263 7 29 24 2
263 7 30 14 6
263 7 31 17 4
263 7 31 4 5
263 7 33 52 4
263 7 33 9 7
263 7 34 1 1
263 7 34 22 4
263 7 34 55 1
263 7 35 56 2
263 7 38 23 5
263 7 39 1 1
263 7 39 25 10
263 7 4 10 6
263 7 4 24 10
263 7 42 29 7
263 7 43 45 3
263 7 44 38 11
263 7 44 4 4
263 7 47 24 9
263 7 48 13 1
263 7 48 23 6
263 7 48 58 5
263 7 49 31 4
263 7 50 36 5
263 7 52 24 8
263 7 52 51 4
263 7 53 45 1
263 7 55 55 4
263 7 56 41 1
263 7 58 21 2
263 7 58 24 5
263 7 59 10 2
263 7 59 15 6
263 7 59 21 6
263 7 59 44 5
263 7 59 58 12
263 7 6 25 1
263 7 6 28 4
263 7 6 41 10
263 7 7 1 3
263 7 8 42 4
263 7 9 1 4
263 8 1 59.3 2
263 8 1 9.1 6
263 8 10 26.5 2
263 8 13 31 2
263 8 13 7.3 4
263 8 14 30.3 10
263 8 15 54.8 5
263 8 18 56.3 6
263 8 19 37.8 6
263 8 2 9.6 4
263 8 27 42.3 6
263 8 3 21.1 3
263 8 38 27.6 10
263 8 43 27.9 9
263 8 43 54.6 8
263 8 45 8 2
263 8 5 16.4 9
263 8 5 35.3 2
263 8 50 12 2
263 8 50 6.6 5
263 8 53 33.4 1
263 8 53 55.5 3
263 8 57 28.2 1
263 8 57 38.9 5
263 8 57 51.1 10
263 8 57 6 3
263 8 58 1.2 2
263 8 59 33.5 2
263 8 9 23.9 4
263 9 12 16.3 2
263 9 14 53.4 1
263 9 14 8.9 9
263 9 15 13.2 6
263 9 18 6 1
263 9 19 35 3
263 9 2 10.1 2
263 9 21 58.8 7
263 9 22 34.5 10
263 9 23 46.6 2
263 9 26 58 5
263 9 27 44.4 9
263 9 27 54.8 2
263 9 33 17.2 1
263 9 4 15.2 9
263 9 4 39.1 1
263 9 45 34.9 6
263 9 45 5.9 7
263 9 47 54.6 4
263 9 5 25.4 4
263 9 50 51.6 5
263 9 54 30.3 1
263 9 56 51.9 10
263 9 57 26.5 2
264 0 14 59.4 1
264 0 17 1.3 1
264 0 17 32.2 3
264 0 22 27.5 2
264 0 23 44.4 11
264 0 24 12.2 3
264 0 27 58.8 10
264 0 30 10.1 5
264 0 39 24 11
264 0 39 52.4 4
264 0 4 1.8 1
264 0 45 30.4 5
264 0 52 40.8 2
264 1 17 19.4 7
264 1 24 0.1 11
264 1 25 26.1 3
264 1 28 24.9 7
264 1 29 25.6 5
264 1 29 53.8 5
264 1 3 42.4 3
264 1 35 43.5 10
264 1 42 35.9 10
264 1 44 14.9 2
264 1 44 17.4 3
264 1 46 41.6 7
264 1 6 5 5
264 10 13 34.8 3
264 10 13 37.3 2
264 10 13 40.6 1
264 10 14 21.2 6
264 10 23 17.8 10
264 10 23 23.2 4
264 10 25 19.9 10
264 10 25 9.2 5
264 10 31 9.8 6
264 10 35 10.3 3
264 10 35 50.6 2
264 10 36 46 1
264 10 39 7.6 2
264 10 42 50.8 1
264 10 48 51.1 3
264 10 51 32.3 2
264 11 16 54.2 5
264 11 17 24 3
264 11 18 49.9 1
264 11 26 37.1 2
264 11 27 17.1 4
264 11 29 19.4 4
264 11 29 52.7 4
264 11 29 57.5 1
264 11 4 44.3 2
264 11 40 40.3 10
264 11 41 13.8 4
264 11 51 33.5 2
264 11 51 53.9 5
264 11 55 40.2 5
264 11 57 18.3 9
264 12 1 55 4
264 12 19 52.3 9
264 12 20 10.8 3
264 12 27 55.8 2
264 12 37 28.6 5
264 12 45 25.3 3
264 12 59 42.3 1
264 13 0 40.1 3
264 13 1 58.7 6
264 13 11 22.8 2
264 13 12 53.9 1
264 13 13 0.8 3
264 13 13 53.7 10
264 13 14 50.4 1
264 13 38 43.5 2
264 13 4 11.3 5
264 13 44 17.8 6
264 13 48 18.3 4
264 13 48 45.1 8
264 13 48 53.3 4
264 13 5 58.9 3
264 13 50 22.5 7
264 13 50 46.1 7
264 13 50 5.7 4
264 13 53 27.1 2
264 13 56 29.9 8
264 13 58 22.6 1
264 13 59 19.9 4
264 13 9 44 4
264 14 20 27.1 7
264 14 3 19.4 4
264 14 40 50.6 5
264 14 5 33.1 5
264 14 54 32.3 3
264 14 59 18.6 4
264 14 59 27.1 5
264 14 8 47.7 5
264 15 0 23.3 4
264 15 14 14.5 2
264 15 14 27.5 3
264 15 17 39.2 8
264 15 18 40.1 2
264 15 2 1.8 2
264 15 26 23.4 10
264 15 26 56.8 10
264 15 31 50.5 4
264 15 33 57.7 5
264 15 39 28.4 4
264 15 49 32.6 2
264 15 49 45.7 1
264 15 59 38.1 4
264 16 2 2.7 4
264 16 3 29.6 4
264 16 3 32 8
264 16 4 15.3 4
264 16 45 29.9 8
264 16 46 5.3 1
264 16 5 19.6 7
264 16 54 0 10
264 16 8 34.8 1
264 16 8 49.1 4
264 17 24 28.7 10
264 17 25 13.1 4
264 17 25 48.3 10
264 17 27 11 7
264 17 3 54.5 4
264 17 37 39.1 6
264 17 39 5.3 4
264 17 54 54.7 3
264 17 58 54.5 4
264 17 6 3.6 2
264 17 6 44.6 12
264 18 0 9.8 2
264 18 33 52.9 3
264 18 41 3.5 4
264 18 45 54 4
264 18 46 9.6 5
264 18 49 28.9 9
264 18 50 51.9 4
264 18 6 53.8 7
264 19 16 4.9 11
264 19 18 7.1 9
264 19 19 42.6 5
264 19 24 46.8 1
264 19 28 8.2 3
264 19 36 49.9 3
264 19 41 8.6 7
264 19 47 21.4 1
264 19 48 31.7 3
264 19 5 28.8 1
264 19 51 31.4 3
264 19 56 4.8 2
264 19 58 31.1 6
264 19 8 32.4 5
264 2 0 13.9 8
264 2 1 14.4 10
264 2 1 40.1 5
264 2 12 19.3 5
264 2 13 10.8 1
264 2 14 25.3 1
264 2 25 5.8 8
264 2 28 41.4 1
264 2 29 31.5 1
264 2 31 41.3 1
264 2 38 16.9 3
264 2 38 5 5
264 2 47 14.5 10
264 2 48 5.5 6
264 2 52 16.1 1
264 2 52 6.2 2
264 2 56 25.1 7
264 20 0 49.5 10
264 20 20 40.2 4
264 20 29 25.4 10
264 20 33 6.1 1
264 20 36 53.9 1
264 20 36 57.1 4
264 20 37 59.9 3
264 20 39 16.2 10
264 20 47 46.9 2
264 20 50 45.3 4
264 20 53 29.2 5
264 20 54 21.6 1
264 21 14 52.7 2
264 21 17 6.1 1
264 21 18 55.6 5
264 21 23 53.1 4
264 21 32 39.4 1
264 21 37 9.4 7
264 21 4 22.2 4
264 21 44 57.7 2
264 21 53 26.3 4
264 21 57 16.1 9
264 21 6 57.9 6
264 22 1 13.6 5
264 22 10 50.6 3
264 22 10 58.9 5
264 22 21 24.4 4
264 22 22 52.2 5
264 22 23 58.2 7
264 22 27 9.9 8
264 22 28 4.4 1
264 22 31 12.9 6
264 22 32 50.2 2
264 22 48 19.1 3
264 22 57 16.3 10
264 23 17 47 1
264 23 21 23.6 4
264 23 26 51 9
264 23 29 39.1 3
264 23 39 32.6 10
264 23 41 7.1 4
264 23 50 4.9 11
264 23 51 22.4 5
264 23 54 22.1 3
264 23 57 19.1 11
264 23 58 2 1
264 23 7 39.6 7
264 3 15 0.9 9
264 3 15 36.5 6
264 3 26 30.9 2
264 3 32 30 4
264 3 37 28.1 2
264 3 37 55.9 10
264 3 37 7.5 5
264 3 53 37 9
264 3 54 6 2
264 3 55 33 10
264 3 56 6 10
264 3 58 10 1
264 3 58 39 2
264 3 7 6.9 1
264 4 13 52 1
264 4 14 39 1
264 4 14 46 11
264 4 16 22 4
264 4 17 12 9
264 4 25 0 10
264 4 26 43 4
264 4 35 57 2
264 4 48 11 2
264 4 54 18 1
264 4 6 9 9
264 5 1 50 8
264 5 12 44 2
264 5 14 30 1
264 5 25 6 7
264 5 27 23 7
264 5 27 45 2
264 5 31 39 1
264 5 37 26 7
264 5 39 13 10
264 5 40 35 1
264 5 40 9 3
264 5 44 50 3
264 5 45 46 7
264 5 50 3 2
264 5 52 59 2
264 5 54 27 4
264 5 59 39 9
264 5 59 47 8
264 6 10 44 1
264 6 12 13 3
264 6 18 56 3
264 6 21 34 3
264 6 22 19 2
264 6 28 37 4
264 6 31 30 1
264 6 31 57 4
264 6 37 43 3
264 6 39 29 5
264 6 43 16 9
264 6 44 34 1
264 6 45 31 2
264 6 45 36 5
264 6 45 58 1
264 6 48 27 4
264 6 49 10 5
264 6 57 45 5
264 6 8 26 6
264 6 8 55 1
264 6 9 30 5
264 7 10 30 1
264 7 11 17 7
264 7 21 21 5
264 7 25 41 1
264 7 27 11 4
264 7 28 16 10
264 7 40 42 6
264 7 41 17 3
264 7 41 4 6
264 7 48 41 2
264 7 48 8 4
264 7 5 13 4
264 7 55 14 2
264 7 7 29 1
264 7 8 38 3
264 7 8 58 10
264 8 10 56.4 1
264 8 14 32 4
264 8 14 58.4 3
264 8 15 49.4 9
264 8 16 30.4 6
264 8 17 27.4 6
264 8 21 6.3 6
264 8 28 37.3 4
264 8 28 40.8 4
264 8 28 48.6 2
264 8 32 16.9 10
264 8 33 20.8 11
264 8 33 33.5 10
264 8 36 2 1
264 8 36 56.4 6
264 8 37 16.8 5
264 8 38 12.5 7
264 8 39 9.7 4
264 8 40 12.6 11
264 8 41 57.6 6
264 8 42 29.5 6
264 8 47 51.8 1
264 8 53 32.1 2
264 8 57 19.2 6
264 8 6 23.4 5
264 9 13 51.9 11
264 9 2 11.1 2
264 9 22 8.9 1
264 9 26 47.2 2
264 9 27 5.7 4
264 9 3 48.3 2
264 9 31 34.4 1
264 9 39 24.8 3
264 9 40 9.9 4
264 9 49 7.2 6
264 9 5 17.8 2
264 9 57 20.9 9
264 9 58 57.3 4
265 0 1 15.2 1
265 0 17 12.6 5
265 0 20 12.5 2
265 0 23 28.5 5
265 0 25 56.4 5
265 0 28 38.5 1
265 0 28 56.2 2
265 0 32 45.2 5
265 0 38 8.1 2
265 0 40 34 3
265 0 40 49.6 2
265 0 44 45.8 6
265 0 57 0.2 10
265 0 6 54.7 11
265 1 10 0.5 1
265 1 15 42.9 2
265 1 24 30.4 3
265 1 26 39.4 4
265 1 30 37.6 11
265 1 31 38.2 3
265 1 36 0.6 5
265 1 36 7 5
265 1 46 7.9 11
265 1 5 24.7 5
265 10 29 57.5 10
265 10 30 11.1 10
265 10 35 56.8 5
265 10 47 48.4 5
265 10 5 41.3 3
265 10 50 39.4 1
265 10 51 42.9 2
265 10 59 18.8 5
265 10 7 43.2 2
265 10 8 47.4 5
265 11 14 12.7 9
265 11 18 39 11
265 11 2 55.1 3
265 11 26 50.5 2
265 11 27 55.3 4
265 11 3 23.9 11
265 11 30 36.5 2
265 11 35 28.1 10
265 11 35 55.4 10
265 11 37 28.8 2
265 11 37 41.2 5
265 11 41 52.4 5
265 11 41 54.7 1
265 11 51 25.2 3
265 11 55 19.6 3
265 11 9 31.1 3
265 12 20 46.8 3
265 12 21 33.6 10
265 12 24 43.8 2
265 12 27 0.7 5
265 12 29 10.3 4
265 12 39 46.4 1
265 12 41 57.2 1
265 12 41 9 3
265 12 52 54.7 5
265 13 1 52.1 10
265 13 10 33.8 9
265 13 10 38.4 4
265 13 10 42 4
265 13 11 28.5 7
265 13 2 56 7
265 13 20 40.9 4
265 13 21 58.8 4
265 13 22 2.6 4
265 13 31 14.7 4
265 13 31 4.4 4
265 13 32 51.1 4
265 13 33 34.2 1
265 13 35 38.5 4
265 13 36 10.8 2
265 13 38 1.6 4
265 13 39 53.1 10
265 13 46 0 11
265 13 49 22.3 3
265 13 8 13.3 10
265 14 11 2.2 6
265 14 2 24.6 1
265 14 2 6.5 1
265 14 20 5.9 6
265 14 31 44.9 5
265 14 40 3.3 4
265 14 41 21.7 1
265 14 42 55.8 4
265 14 43 24.1 9
265 14 54 20.8 2
265 14 7 28 5
265 15 11 35.6 4
265 15 11 5.3 9
265 15 25 11.6 7
265 15 31 53.2 8
265 15 43 49 1
265 15 46 16.6 5
265 15 47 4.6 8
265 15 58 36.9 4
265 15 9 40.2 1
265 16 27 50.3 5
265 16 40 21 2
265 16 42 31.5 6
265 16 50 24.4 10
265 16 50 42.8 4
265 17 0 3.1 7
265 17 18 52.7 10
265 17 25 5.3 2
265 17 26 53.6 7
265 17 27 12.7 5
265 17 27 37.4 5
265 17 28 42.7 4
265 17 3 57.6 3
265 17 31 3.9 1
265 17 34 52.5 4
265 17 48 54.6 5
265 17 54 39.4 4
265 17 55 16.7 2
265 17 55 42.2 4
265 17 56 13.6 1
265 17 56 19.4 5
265 17 58 11.1 4
265 17 58 5.9 2
265 17 8 50.2 1
265 18 0 17 5
265 18 23 26.3 4
265 18 23 30.2 5
265 18 24 23.3 3
265 18 39 20.4 7
265 18 4 29.6 4
265 18 40 28.3 5
265 18 40 35.7 10
265 18 40 39.6 11
265 18 40 57 1
265 18 40 58.6 10
265 18 45 49.1 3
